customer_id,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,preferred_payment_method
CUST_00001,1339,19,5,14,0.2632,3126.6,NetBanking
CUST_00002,531,33,13,20,0.3939,2004.63,UPI
CUST_00003,1415,74,27,47,0.3649,3475.11,Wallet
CUST_00004,95,8,2,6,0.25,6413.25,Card
CUST_00005,506,69,58,11,0.8406,1874.49,UPI
CUST_00006,1179,30,29,1,0.9667,1874.51,Wallet
CUST_00007,481,62,55,7,0.8871,6670.49,NetBanking
CUST_00008,43,25,20,5,0.8,3778.96,NetBanking
CUST_00009,599,24,13,11,0.5417,1589.81,NetBanking
CUST_00010,239,16,10,6,0.625,3228.56,UPI
CUST_00011,765,49,30,19,0.6122,1596.56,UPI
CUST_00012,970,73,28,45,0.3836,1593.98,Wallet
CUST_00013,191,75,40,35,0.5333,2615.93,NetBanking
CUST_00014,1212,29,10,19,0.3448,578.65,UPI
CUST_00015,1384,34,34,0,1.0,660.21,NetBanking
CUST_00016,193,34,13,21,0.3824,1489.8,Wallet
CUST_00017,599,63,58,5,0.9206,1086.83,NetBanking
CUST_00018,363,52,37,15,0.7115,2751.7,Card
CUST_00019,1402,39,33,6,0.8462,1169.56,UPI
CUST_00020,1277,26,24,2,0.9231,821.71,Card
CUST_00021,364,64,43,21,0.6719,6160.75,NetBanking
CUST_00022,1340,76,36,40,0.4737,1885.52,NetBanking
CUST_00023,144,34,11,23,0.3235,2315.24,NetBanking
CUST_00024,851,39,13,26,0.3333,814.58,Card
CUST_00025,1191,45,26,19,0.5778,1508.59,Wallet
CUST_00026,840,63,27,36,0.4286,2386.65,NetBanking
CUST_00027,315,36,33,3,0.9167,986.64,NetBanking
CUST_00028,1227,59,54,5,0.9153,2872.65,Wallet
CUST_00029,771,33,13,20,0.3939,1450.34,Wallet
CUST_00030,216,11,4,7,0.3636,1800.49,Card
CUST_00031,1315,25,20,5,0.8,1449.26,UPI
CUST_00032,818,53,53,0,1.0,8075.54,Wallet
CUST_00033,1113,37,28,9,0.7568,2187.58,UPI
CUST_00034,1423,19,15,4,0.7895,1053.21,NetBanking
CUST_00035,1342,48,21,27,0.4375,3927.59,NetBanking
CUST_00036,920,25,21,4,0.84,939.56,UPI
CUST_00037,569,69,68,1,0.9855,2556.01,Card
CUST_00038,1069,18,18,0,1.0,560.16,NetBanking
CUST_00039,1338,69,58,11,0.8406,871.55,Card
CUST_00040,343,52,25,27,0.4808,2534.63,UPI
CUST_00041,1256,46,44,2,0.9565,3703.1,UPI
CUST_00042,259,51,34,17,0.6667,2489.8,Card
CUST_00043,148,35,28,7,0.8,2036.62,UPI
CUST_00044,205,67,24,43,0.3582,1788.67,Card
CUST_00045,292,65,54,11,0.8308,784.49,Card
CUST_00046,572,72,59,13,0.8194,1334.23,Wallet
CUST_00047,463,74,70,4,0.9459,1599.67,Card
CUST_00048,1490,44,38,6,0.8636,4628.49,NetBanking
CUST_00049,927,71,49,22,0.6901,2808.86,UPI
CUST_00050,537,33,11,22,0.3333,642.82,NetBanking
CUST_00051,73,80,59,21,0.7375,2770.71,Card
CUST_00052,1235,33,9,24,0.2727,1686.55,UPI
CUST_00053,1479,12,6,6,0.5,1374.93,UPI
CUST_00054,94,47,18,29,0.383,3388.6,Card
CUST_00055,600,67,33,34,0.4925,4544.62,Card
CUST_00056,1199,78,53,25,0.6795,4238.21,Card
CUST_00057,998,57,29,28,0.5088,1227.27,UPI
CUST_00058,228,60,40,20,0.6667,1778.55,Wallet
CUST_00059,871,64,22,42,0.3438,2784.67,UPI
CUST_00060,154,56,37,19,0.6607,4371.59,UPI
CUST_00061,539,29,14,15,0.4828,1579.05,Wallet
CUST_00062,317,59,28,31,0.4746,1939.22,NetBanking
CUST_00063,977,36,12,24,0.3333,1017.97,Wallet
CUST_00064,1157,17,5,12,0.2941,955.9,UPI
CUST_00065,221,35,15,20,0.4286,3900.14,Wallet
CUST_00066,1024,66,32,34,0.4848,5706.54,Wallet
CUST_00067,150,26,19,7,0.7308,2099.79,UPI
CUST_00068,829,38,36,2,0.9474,4458.08,Wallet
CUST_00069,614,59,52,7,0.8814,2844.51,Wallet
CUST_00070,347,29,17,12,0.5862,1405.88,Card
CUST_00071,149,79,70,9,0.8861,2844.03,UPI
CUST_00072,672,12,3,9,0.25,6480.97,Wallet
CUST_00073,1059,72,31,41,0.4306,2153.66,UPI
CUST_00074,1070,15,6,9,0.4,6602.81,UPI
CUST_00075,1248,13,13,0,1.0,352.9,Card
CUST_00076,856,20,20,0,1.0,3925.82,Card
CUST_00077,1215,10,4,6,0.4,2347.09,Wallet
CUST_00078,1376,79,59,20,0.7468,1791.3,NetBanking
CUST_00079,564,31,30,1,0.9677,2354.85,NetBanking
CUST_00080,518,38,23,15,0.6053,549.33,Card
CUST_00081,1405,43,41,2,0.9535,1893.59,NetBanking
CUST_00082,178,6,4,2,0.6667,2835.51,UPI
CUST_00083,180,73,34,39,0.4658,6213.79,NetBanking
CUST_00084,301,49,18,31,0.3673,1536.42,Card
CUST_00085,786,41,17,24,0.4146,1253.95,Wallet
