attempt_id,transaction_id,attempt_number,attempt_time,payment_method,failure_reason,response_code,processing_time_ms,status
ATT_0000001,TXN_000005,1,2026-07-04 06:33:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1100,failed
ATT_0000002,TXN_000005,2,2026-07-04 07:09:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,484,failed
ATT_0000003,TXN_000006,1,2026-07-08 05:12:00,UPI,bank_timeout,TIMEOUT,2384,failed
ATT_0000004,TXN_000007,1,2026-08-03 19:33:00,Card,network_error,NETWORK_ERROR,1149,failed
ATT_0000005,TXN_000009,1,2026-08-08 22:39:00,Card,network_error,NETWORK_ERROR,4812,failed
ATT_0000006,TXN_000011,1,2026-08-19 13:49:00,UPI,authentication_failure,AUTH_FAILED,1412,failed
ATT_0000007,TXN_000012,1,2026-08-13 20:50:00,Card,bank_declined,BANK_DECLINED,3329,failed
ATT_0000008,TXN_000014,1,2026-07-30 23:14:00,UPI,bank_declined,BANK_DECLINED,837,failed
ATT_0000009,TXN_000016,1,2026-07-03 17:36:00,UPI,network_error,NETWORK_ERROR,3061,failed
ATT_0000010,TXN_000017,1,2026-08-12 15:52:00,UPI,bank_timeout,TIMEOUT,2721,failed
ATT_0000011,TXN_000017,2,2026-08-12 16:34:00,UPI,bank_timeout,TIMEOUT,3877,failed
ATT_0000012,TXN_000018,1,2026-07-14 06:20:00,UPI,authentication_failure,AUTH_FAILED,197,failed
ATT_0000013,TXN_000021,1,2026-07-01 06:41:00,UPI,bank_timeout,TIMEOUT,1339,failed
ATT_0000014,TXN_000028,1,2026-07-27 16:12:00,UPI,bank_declined,BANK_DECLINED,2509,failed
ATT_0000015,TXN_000033,1,2026-08-01 10:32:00,UPI,network_error,NETWORK_ERROR,1449,failed
ATT_0000016,TXN_000034,1,2026-08-09 07:45:00,UPI,bank_timeout,TIMEOUT,4713,failed
ATT_0000017,TXN_000037,1,2026-07-11 21:38:00,UPI,bank_timeout,TIMEOUT,963,failed
ATT_0000018,TXN_000037,2,2026-07-11 21:52:00,UPI,bank_timeout,TIMEOUT,3129,failed
ATT_0000019,TXN_000038,1,2026-08-19 00:19:00,UPI,bank_declined,BANK_DECLINED,3549,failed
ATT_0000020,TXN_000039,1,2026-07-27 07:56:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3113,failed
ATT_0000021,TXN_000039,2,2026-07-27 08:02:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3775,failed
ATT_0000022,TXN_000039,3,2026-07-27 08:16:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,231,failed
ATT_0000023,TXN_000053,1,2026-08-03 19:59:00,UPI,bank_declined,BANK_DECLINED,821,failed
ATT_0000024,TXN_000056,1,2026-08-22 05:47:00,Card,authentication_failure,AUTH_FAILED,4484,failed
ATT_0000025,TXN_000056,2,2026-08-22 05:59:00,Card,authentication_failure,AUTH_FAILED,1891,failed
ATT_0000026,TXN_000058,1,2026-08-03 05:16:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1314,failed
ATT_0000027,TXN_000059,1,2026-08-26 09:54:00,Wallet,insufficient_funds,INSUFFICIENT_FUNDS,516,failed
ATT_0000028,TXN_000071,1,2026-07-02 02:13:00,Wallet,bank_timeout,TIMEOUT,1140,failed
ATT_0000029,TXN_000073,1,2026-07-05 16:41:00,UPI,bank_declined,BANK_DECLINED,981,failed
ATT_0000030,TXN_000077,1,2026-07-18 20:38:00,UPI,bank_declined,BANK_DECLINED,4330,failed
ATT_0000031,TXN_000080,1,2026-07-17 15:33:00,Wallet,bank_declined,BANK_DECLINED,280,failed
ATT_0000032,TXN_000080,2,2026-07-17 16:22:00,Wallet,bank_declined,BANK_DECLINED,1245,failed
ATT_0000033,TXN_000080,3,2026-07-17 17:08:00,Wallet,bank_declined,BANK_DECLINED,166,failed
ATT_0000034,TXN_000085,1,2026-08-13 12:20:00,Card,bank_declined,BANK_DECLINED,3123,failed
