transaction_id,recovery_eligible,recovery_action,recovery_probability,recovered,recovered_amount,intervention_cost,recovery_time_minutes
TXN_000005,True,escalate,0.3322,False,0.0,10.0,
TXN_000006,True,retry_later,0.6412,True,2442.96,0.25,170.0
TXN_000007,True,retry_later,0.7112,True,4135.64,0.25,152.0
TXN_000009,True,retry_later,0.7092,True,1325.86,0.25,13.0
TXN_000011,True,send_reminder,0.6068,True,4738.99,0.1,126.0
TXN_000012,True,escalate,0.4272,False,0.0,10.0,
TXN_000014,True,retry_later,0.454,True,905.6,0.25,112.0
TXN_000016,True,retry_later,0.6899,True,7248.33,0.25,21.0
TXN_000017,True,retry_later,0.7832,True,217.98,0.25,116.0
TXN_000018,True,send_reminder,0.7114,True,10305.25,0.1,4.0
TXN_000021,True,retry_later,0.6277,True,4655.0,0.25,112.0
TXN_000028,True,escalate,0.2911,False,0.0,10.0,
TXN_000033,True,retry_now,0.9215,True,1264.03,0.5,129.0
TXN_000034,True,retry_later,0.7371,True,2441.01,0.25,39.0
TXN_000037,True,retry_later,0.544,True,4722.43,0.25,36.0
TXN_000038,True,escalate,0.387,True,1441.6,10.0,171.0
TXN_000039,False,stop,0.08,False,0.0,0.0,
TXN_000053,True,retry_later,0.5051,True,5120.32,0.25,109.0
TXN_000056,True,escalate,0.3117,False,0.0,10.0,
TXN_000058,True,send_reminder,0.5595,False,0.0,0.1,
TXN_000059,True,escalate,0.3789,False,0.0,10.0,
TXN_000071,True,retry_later,0.8282,True,3103.79,0.25,62.0
TXN_000073,True,retry_later,0.5925,True,5604.3,0.25,143.0
TXN_000077,True,retry_later,0.6406,True,4695.27,0.25,42.0
TXN_000080,True,stop,0.2869,False,0.0,0.0,
TXN_000085,True,retry_later,0.6102,True,3954.26,0.25,127.0
TXN_000087,True,escalate,0.3301,False,0.0,10.0,
TXN_000092,True,escalate,0.366,False,0.0,10.0,
TXN_000093,True,retry_later,0.7114,True,16816.11,0.25,161.0
TXN_000094,True,retry_later,0.6728,True,2403.28,0.25,149.0
TXN_000101,True,retry_later,0.7441,True,3466.08,0.25,80.0
TXN_000103,True,send_reminder,0.6801,False,0.0,0.1,
TXN_000108,True,retry_now,0.9128,True,754.44,0.5,75.0
TXN_000109,True,escalate,0.2634,True,2542.01,10.0,51.0
TXN_000110,True,escalate,0.3909,True,2966.57,10.0,96.0
TXN_000118,True,send_reminder,0.72,False,0.0,0.1,
TXN_000119,True,retry_now,0.927,True,890.58,0.5,111.0
TXN_000120,True,retry_later,0.7258,True,1807.76,0.25,71.0
TXN_000125,True,escalate,0.356,False,0.0,10.0,
TXN_000127,True,send_reminder,0.6207,True,1083.47,0.1,108.0
TXN_000130,True,stop,0.684,False,0.0,0.0,
TXN_000131,True,retry_now,0.8578,True,2296.72,0.5,133.0
TXN_000133,True,escalate,0.3174,False,0.0,10.0,
TXN_000134,True,retry_now,0.9009,True,674.43,0.5,146.0
TXN_000135,True,send_reminder,0.5103,False,0.0,0.1,
TXN_000136,True,alternate_payment,0.2457,False,0.0,0.3,
TXN_000142,True,retry_later,0.5909,True,1971.75,0.25,137.0
TXN_000144,True,retry_later,0.5892,True,679.6,0.25,79.0
TXN_000149,True,escalate,0.4201,True,3431.35,10.0,118.0
TXN_000155,True,escalate,0.3567,True,867.3,10.0,96.0
TXN_000156,True,escalate,0.4019,False,0.0,10.0,
TXN_000160,True,escalate,0.408,True,897.55,10.0,21.0
TXN_000161,True,retry_later,0.7127,True,4943.69,0.25,124.0
TXN_000164,True,alternate_payment,0.2699,True,1720.94,0.3,121.0
TXN_000169,True,retry_now,0.9107,True,4426.45,0.5,117.0
TXN_000172,True,send_reminder,0.5375,False,0.0,0.1,
TXN_000173,False,alternate_payment,0.1821,False,0.0,0.3,
TXN_000178,True,retry_now,0.8743,True,926.17,0.5,69.0
TXN_000183,True,retry_later,0.7741,True,2656.37,0.25,170.0
TXN_000190,True,retry_now,0.9203,True,2097.92,0.5,66.0
TXN_000191,True,retry_later,0.8208,False,0.0,0.25,
TXN_000193,True,retry_now,0.9132,True,2417.11,0.5,81.0
TXN_000197,True,retry_later,0.668,True,303.88,0.25,177.0
TXN_000199,True,escalate,0.3487,False,0.0,10.0,
TXN_000202,True,send_reminder,0.5137,False,0.0,0.1,
TXN_000203,True,escalate,0.3398,False,0.0,10.0,
TXN_000212,True,retry_later,0.6254,True,973.57,0.25,138.0
TXN_000214,True,alternate_payment,0.2325,False,0.0,0.3,
TXN_000218,True,retry_later,0.6713,False,0.0,0.25,
TXN_000221,True,retry_later,0.6625,True,7615.16,0.25,131.0
TXN_000224,False,stop,0.0599,False,0.0,0.0,
TXN_000237,True,send_reminder,0.4658,False,0.0,0.1,
TXN_000243,True,retry_later,0.7621,True,4157.79,0.25,169.0
TXN_000245,True,retry_later,0.5515,True,1489.5,0.25,102.0
TXN_000246,True,retry_later,0.766,True,1012.2,0.25,33.0
TXN_000247,True,retry_later,0.7717,True,4551.21,0.25,88.0
TXN_000248,True,send_reminder,0.5005,False,0.0,0.1,
TXN_000253,True,retry_now,0.8945,True,4813.99,0.5,1.0
TXN_000254,True,escalate,0.4028,True,2304.73,10.0,172.0
TXN_000256,False,alternate_payment,0.1634,True,4975.63,0.3,168.0
