transaction_id,amount,failure_reason,attempt_number,risk_score,risk_level,root_cause,cause_category,cause_nature,root_cause_confidence,recovery_direction,recovery_probability,decision,decision_confidence,status,recovered_amount,escalation_required,escalation_reason,action_count
TXN_000005,536.52,insufficient_funds,2,0.5051,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.1607,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000006,2442.96,bank_timeout,1,0.446,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.6947,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000007,4135.64,network_error,1,0.5227,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.6345,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000009,1325.86,network_error,1,0.5777,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7641,retry_now,0.9,recovered,1325.86,False,,6
TXN_000011,4738.99,authentication_failure,1,0.621,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5388,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000012,1975.13,bank_declined,1,0.5933,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5558,alternate_payment,0.92,recovered,1975.13,False,,6
TXN_000014,905.6,bank_declined,1,0.5377,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5219,alternate_payment,0.92,recovered,905.6,False,,6
TXN_000016,7248.33,network_error,1,0.5892,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7437,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000017,217.98,bank_timeout,2,0.5577,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.5917,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000018,10305.25,authentication_failure,1,0.6595,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5576,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000021,4655.0,bank_timeout,1,0.45,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.6702,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000028,2391.18,bank_declined,1,0.4965,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4126,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000033,1264.03,network_error,1,0.5771,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.844,retry_now,0.9,recovered,1264.03,False,,6
TXN_000034,2441.01,bank_timeout,1,0.5541,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.722,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000037,4722.43,bank_timeout,2,0.4794,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.4661,send_reminder,0.76,awaiting_customer_action,0.0,False,,6
TXN_000038,1441.6,bank_declined,1,0.5123,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4402,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000039,831.56,insufficient_funds,3,0.3263,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.97,alternate_payment,0.0434,alternate_payment,0.95,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000053,5120.32,bank_declined,1,0.5692,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5172,alternate_payment,0.92,recovered,5120.32,False,,6
TXN_000056,2857.93,authentication_failure,2,0.4715,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.1786,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000058,3994.27,insufficient_funds,1,0.6319,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.3905,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000059,2182.97,insufficient_funds,1,0.5613,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.3655,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000071,3103.79,bank_timeout,1,0.6148,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.782,retry_now,0.9,recovered,3103.79,False,,6
TXN_000073,5604.3,bank_declined,1,0.5778,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6112,alternate_payment,0.92,recovered,5604.3,False,,6
TXN_000077,4695.27,bank_declined,1,0.5935,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6478,alternate_payment,0.92,recovered,4695.27,False,,6
