transaction_id,amount,failure_reason,payment_method,attempt_number,historical_success_rate,risk_score,risk_level,revenue_at_risk,recovery_eligible
TXN_000005,536.52,insufficient_funds,Card,2,0.7273,0.5051,MEDIUM,536.52,True
TXN_000006,2442.96,bank_timeout,UPI,1,0.3478,0.446,MEDIUM,2442.96,True
TXN_000007,4135.64,network_error,Card,1,0.3673,0.5227,MEDIUM,4135.64,True
TXN_000009,1325.86,network_error,Card,1,0.6,0.5777,MEDIUM,1325.86,True
TXN_000011,4738.99,authentication_failure,UPI,1,0.7692,0.621,HIGH,4738.99,True
TXN_000012,1975.13,bank_declined,Card,1,0.7347,0.5933,MEDIUM,1975.13,True
TXN_000014,905.6,bank_declined,UPI,1,0.5833,0.5377,MEDIUM,905.6,True
TXN_000016,7248.33,network_error,UPI,1,0.5645,0.5892,MEDIUM,7248.33,True
TXN_000017,217.98,bank_timeout,UPI,2,0.7917,0.5577,MEDIUM,217.98,True
TXN_000018,10305.25,authentication_failure,UPI,1,0.8636,0.6595,HIGH,10305.25,True
TXN_000021,4655.0,bank_timeout,UPI,1,0.3333,0.45,MEDIUM,4655.0,True
TXN_000028,2391.18,bank_declined,UPI,1,0.4038,0.4965,MEDIUM,2391.18,True
TXN_000033,1264.03,network_error,UPI,1,0.8333,0.5771,MEDIUM,1264.03,True
TXN_000034,2441.01,bank_timeout,UPI,1,0.475,0.5541,MEDIUM,2441.01,True
TXN_000037,4722.43,bank_timeout,UPI,2,0.3974,0.4794,MEDIUM,4722.43,True
TXN_000038,1441.6,bank_declined,UPI,1,0.4783,0.5123,MEDIUM,1441.6,True
TXN_000039,831.56,insufficient_funds,Card,3,0.5455,0.3263,MEDIUM,831.56,False
TXN_000053,5120.32,bank_declined,UPI,1,0.6129,0.5692,MEDIUM,5120.32,True
TXN_000056,2857.93,authentication_failure,Card,2,0.4928,0.4715,MEDIUM,2857.93,True
TXN_000058,3994.27,insufficient_funds,Card,1,0.8627,0.6319,HIGH,3994.27,True
TXN_000059,2182.97,insufficient_funds,Wallet,1,0.6538,0.5613,MEDIUM,2182.97,True
TXN_000071,3103.79,bank_timeout,Wallet,1,0.6667,0.6148,HIGH,3103.79,True
TXN_000073,5604.3,bank_declined,UPI,1,0.871,0.5778,MEDIUM,5604.3,True
TXN_000077,4695.27,bank_declined,UPI,1,0.931,0.5935,MEDIUM,4695.27,True
TXN_000080,6005.0,bank_declined,Wallet,3,0.8889,0.534,MEDIUM,6005.0,False
TXN_000085,3954.26,bank_declined,Card,1,0.9839,0.6771,HIGH,3954.26,True
TXN_000087,2521.82,bank_declined,Card,1,0.4603,0.5141,MEDIUM,2521.82,True
TXN_000092,314.23,insufficient_funds,Card,1,0.5873,0.5161,MEDIUM,314.23,True
TXN_000093,16816.11,network_error,Wallet,1,0.5,0.5808,MEDIUM,16816.11,True
TXN_000094,2403.28,bank_timeout,NetBanking,2,0.6667,0.5514,MEDIUM,2403.28,True
TXN_000101,3466.08,network_error,NetBanking,1,0.6267,0.5982,MEDIUM,3466.08,True
TXN_000103,3918.45,authentication_failure,UPI,1,0.9286,0.6664,HIGH,3918.45,True
TXN_000108,754.44,bank_timeout,UPI,1,0.8125,0.5701,MEDIUM,754.44,True
TXN_000109,2542.01,insufficient_funds,Card,1,0.3529,0.473,MEDIUM,2542.01,True
TXN_000110,2966.57,bank_declined,NetBanking,1,0.5397,0.4701,MEDIUM,2966.57,True
TXN_000118,2481.73,authentication_failure,UPI,1,0.9615,0.6703,HIGH,2481.73,True
TXN_000119,890.58,network_error,UPI,1,0.9833,0.6875,HIGH,890.58,True
TXN_000120,1807.76,network_error,NetBanking,2,0.8571,0.5989,MEDIUM,1807.76,True
TXN_000125,3635.77,bank_declined,Wallet,1,0.3607,0.489,MEDIUM,3635.77,True
TXN_000127,1083.47,authentication_failure,UPI,1,0.8462,0.6249,HIGH,1083.47,True
TXN_000130,3544.27,network_error,NetBanking,3,0.9091,0.5632,MEDIUM,3544.27,False
TXN_000131,2296.72,network_error,Card,1,0.8611,0.6632,HIGH,2296.72,True
TXN_000133,1251.23,insufficient_funds,Card,1,0.3077,0.4502,MEDIUM,1251.23,True
TXN_000134,674.43,network_error,Card,1,0.907,0.661,HIGH,674.43,True
TXN_000135,12318.84,authentication_failure,UPI,2,0.8,0.5827,MEDIUM,12318.84,True
TXN_000136,2096.38,expired_card,Card,1,0.6,0.5357,MEDIUM,2096.38,True
TXN_000142,1971.75,bank_declined,Card,1,0.9362,0.6537,HIGH,1971.75,True
TXN_000144,679.6,bank_declined,UPI,1,0.8214,0.6054,HIGH,679.6,True
TXN_000149,3431.35,insufficient_funds,Card,1,0.6786,0.5746,MEDIUM,3431.35,True
TXN_000155,867.3,bank_declined,Card,2,0.75,0.4572,MEDIUM,867.3,True
TXN_000156,3561.46,authentication_failure,UPI,2,0.4651,0.4661,MEDIUM,3561.46,True
TXN_000160,897.55,authentication_failure,UPI,1,0.3077,0.3909,MEDIUM,897.55,True
TXN_000161,4943.69,bank_timeout,UPI,1,0.4615,0.5593,MEDIUM,4943.69,True
TXN_000164,1720.94,expired_card,Card,1,0.625,0.5406,MEDIUM,1720.94,True
TXN_000169,4426.45,bank_timeout,UPI,1,0.8358,0.6701,HIGH,4426.45,True
TXN_000172,7598.32,insufficient_funds,Card,1,0.963,0.6703,HIGH,7598.32,True
TXN_000173,548.27,expired_card,Card,1,0.3636,0.4473,MEDIUM,548.27,True
TXN_000178,926.17,bank_timeout,UPI,1,0.6901,0.606,HIGH,926.17,True
TXN_000183,2656.37,network_error,UPI,1,0.4815,0.4812,MEDIUM,2656.37,True
TXN_000190,2097.92,network_error,Card,1,0.8868,0.6697,HIGH,2097.92,True
TXN_000191,2203.85,network_error,Wallet,1,0.6607,0.6025,HIGH,2203.85,True
