transaction_id,customer_id,merchant_id,amount,currency,payment_method,bank,transaction_time,status,failure_reason,checkout_completed,subscription_flag
TXN_000001,CUST_00601,MER_0032,1422.05,INR,Wallet,AXIS,2026-07-09 03:03:00,success,,True,False
TXN_000002,CUST_00828,MER_0017,2174.13,INR,UPI,HDFC,2026-07-09 17:02:00,success,,True,False
TXN_000003,CUST_00012,MER_0024,1294.74,INR,Wallet,SBI,2026-08-26 08:59:00,success,,True,False
TXN_000004,CUST_00258,MER_0034,1907.66,INR,UPI,ICICI,2026-07-21 16:46:00,success,,True,True
TXN_000005,CUST_01020,MER_0043,536.52,INR,Card,AXIS,2026-07-04 06:26:00,failed,insufficient_funds,True,False
TXN_000006,CUST_00789,MER_0036,2442.96,INR,UPI,AXIS,2026-07-08 05:03:00,failed,bank_timeout,False,True
TXN_000007,CUST_00084,MER_0014,4135.64,INR,Card,HDFC,2026-08-03 19:28:00,failed,network_error,True,False
TXN_000008,CUST_00747,MER_0007,674.49,INR,NetBanking,ICICI,2026-07-02 02:46:00,success,,True,False
TXN_000009,CUST_01113,MER_0030,1325.86,INR,Card,SBI,2026-08-08 22:27:00,failed,network_error,True,False
TXN_000010,CUST_00214,MER_0042,1150.64,INR,UPI,HDFC,2026-08-17 02:24:00,success,,True,False
TXN_000011,CUST_00712,MER_0026,4738.99,INR,UPI,ICICI,2026-08-19 13:36:00,failed,authentication_failure,True,False
TXN_000012,CUST_01855,MER_0028,1975.13,INR,Card,SBI,2026-08-13 20:35:00,failed,bank_declined,True,False
TXN_000013,CUST_00404,MER_0039,4057.55,INR,UPI,AXIS,2026-08-21 12:34:00,success,,True,False
TXN_000014,CUST_00688,MER_0006,905.6,INR,UPI,SBI,2026-07-30 23:05:00,failed,bank_declined,True,False
TXN_000015,CUST_00880,MER_0031,3046.97,INR,UPI,ICICI,2026-08-13 10:15:00,success,,True,False
TXN_000016,CUST_00851,MER_0037,7248.33,INR,UPI,HDFC,2026-07-03 17:31:00,failed,network_error,True,False
TXN_000017,CUST_01520,MER_0033,217.98,INR,UPI,YES,2026-08-12 15:47:00,failed,bank_timeout,True,True
TXN_000018,CUST_00403,MER_0017,10305.25,INR,UPI,ICICI,2026-07-14 06:19:00,failed,authentication_failure,True,False
